geneID	Glc1	Glc2	Glc3	Lac1	Lac2	Lac3	LNT1	LNT2	LNT3	XGL1	XGL2	XGL3
BcK1E1_00597	5734.002938671891	4961.014198367382	4503.998549787709	10965.994958623594	12280.998891453175	11253.025945042085	10082.996040823713	11357.987340873453	11864.02520822462	10969.999329204224	12890.02407404393	12811.971570205873
BcK1E1_00598	0	0	0	0	0	0	0	0	0	0	0	0
BcK1E1_00599	2415.999683024196	2673.9987131549065	2064.001544605515	2655.003430793722	2968.0004281015126	2933.9959197847197	2498.0004275783153	3323.9992210587866	2932.996995611455	2783.005009261295	2374.0041876120968	3170.996640895082
BcK1E1_00600	0	0	0	0	0	0	0	0	0	0	0	0
BcK1E1_00601	0	0	0	0	0	0	0	0	0	0	0	0
BcK1E1_00602	0	0	0	0	0	0	0	0	0	0	0	0
BcK1E1_00603	612.0012871871432	443.00033725162217	546.0005995185868	733.9990322622859	764.0005936658687	725.0002842394512	620.9993324259086	770.0006837148178	790.9995611855275	735.9994372815487	697.9996159286696	831.9993471316513
BcK1E1_00604	1276.9999472129407	1768.9992647298823	1053.999830283237	5879.986066198216	6332.995364706074	6194.992552580861	3039.989705718303	4956.0117436619375	3660.990685328785	2719.9996660862275	2846.998390902189	3716.016854185737
BcK1E1_00605	849.0003596481632	1123.000129790992	630.999620997856	4169.010431612296	4334.006650278277	4388.986065335067	2007.0003165585479	3392.998655207456	2581.000243565111	2012.0006454288416	2164.999424978329	2519.0011345184794
BcK1E1_00606	1627.0023179921563	2066.9987236870206	1180.0004734321724	7506.9933561305525	7861.996874795809	7724.014721610062	3466.000754202364	5746.978690394028	4599.979030488376	3297.001752457922	3679.999812392853	4093.0016838980155
BcK1E1_00607	3560.003066587091	5209.001871643381	2682.998599938818	40674.00575421266	45425.0144862043	45009.98665381931	11984.994351744846	18491.995202045484	17269.998752694533	10778.004900094813	10664.009537582488	11032.017099437098
BcK1E1_00608	315.00008695468637	340.999931412173	281.0000024821441	608.0001294234011	696.0010651253364	675.0014331028359	339.9997789850827	396.00008575295	470.99993915634366	285.9999555564568	267.999722949474	309.00016999939993
BcK1E1_00609	338.0001385608341	374.99897728031965	248.99994604906934	782.0001592004242	801.9990792292389	859.0023053563472	367.0000089791099	573.0021001981447	571.0009157426662	403.99984470898283	337.99989230204994	346.0000453399861
BcK1E1_00610	220.99995109185735	243.0001151892119	170.00000886422134	545.9998904608829	557.9999917622673	557.0004124414845	264.00009079471414	376.9997939671175	345.99976319652234	263.9999620087501	246.9997400701733	287.99977723113886
BcK1E1_00611	147.00015241585183	164.0000000818257	89.9998862704093	264.9998986650309	335.0001598216186	285.0001671858467	191.0001121664905	260.000055194515	219.00010489911367	175.00002082538708	138.00000369938076	195.00002016827932
BcK1E1_00612	461.00026223708056	577.9998523114838	424.99976940125123	948.9997328110728	993.9993392413163	938.0035602270718	560.0009383976347	862.0015568266807	704.0004692465682	647.0028937792545	549.0001981136496	804.0017050290691
BcK1E1_00613	711.0016001843405	657.0018585181411	530.0016939746162	628.9999493603956	678.9998208138513	665.0004793643926	545.9998762949939	811.999678713647	665.0002771016711	584.000295122047	549.9996720389503	628.0001992971365
BcK1E1_00614	822.0004254163698	733.9996576601669	716.9969293828868	827.9999551693979	878.0028862909044	786.9985011991287	842.0003082251807	1129.996198014073	959.0035655366627	762.999651527944	720.9984458721473	996.9964553431087
BcK1E1_00615	27382.023662886826	21402.991327468077	23325.989083828954	27780.007309358	31096.020599700092	30117.009621867608	18415.00648883801	24062.981369816735	22362.99855744655	26311.004870354554	24568.9911943196	29217.97963870288
BcK1E1_00616	7342.015269600215	6674.999397497584	6598.006728548814	5198.985762683774	5687.017838901282	5687.007633962891	3886.005563510147	4990.00014930765	4091.0051960020137	5103.983684889809	4211.981811216963	6032.016807637081
BcK1E1_00617	14524.007123793976	11647.990289293248	12665.973643275674	8744.989703876774	9654.970553118144	9080.019844145483	7224.0017809029605	9796.026829830229	7931.996725209116	9179.995203619404	8415.02142145696	11255.0152693885
BcK1E1_00618	22356.041490569703	18317.982482134605	17944.978421395976	11504.990888481338	13156.98780394449	12530.993531703743	11306.030734332424	16176.019902883285	12987.956732215358	15174.991356479608	14751.96703362208	17032.011500743927
BcK1E1_00619	11376.029230095337	11155.010078660685	8378.970864063482	10422.998561538332	11078.004105743506	10985.99688867436	9692.987836524944	14569.972062707324	11321.003681151478	8437.001546812611	7407.996958901163	10863.002987547365
