contrast	estimate	SE	df	z.ratio	p.value
Bifidobacterium bifidum - Bifidobacterium sp002742445	-0.263205389994847	0.05148627982366958	Inf	-5.1121462047029596	8.05853449143103e-5
Bifidobacterium bifidum - Bifidobacterium thermophilum	0.350477619210856	0.28892543100128937	Inf	1.2130383192516272	1
Bifidobacterium bifidum - Bifidobacterium tsurumiense	-0.690976255617307	0.12186243760445867	Inf	-5.670133219065247	3.6099691102647864e-6
Bifidobacterium breve - Bifidobacterium catenulatum subsp. catenulatum	0.37879369783792677	0.034259874857970656	Inf	11.056482237844467	5.1596801929548e-26
Bifidobacterium breve - Bifidobacterium catenulatum subsp. kashiwanohense	0.03086744869508934	0.04289571875752664	Inf	0.7195927609832444	1
Bifidobacterium breve - Bifidobacterium catenulatum subsp. kashiwanohense_A	0.07104752600060005	0.09965759122832685	Inf	0.7129163481166437	1
Bifidobacterium breve - Bifidobacterium dentium	-0.06824783711598997	0.02120301391678564	Inf	-3.2187799991000663	0.32570515341177186
Bifidobacterium breve - Bifidobacterium gallicum	0.9118307053665865	0.30172305982458314	Inf	3.0220782789910388	0.6351454160247471
Bifidobacterium breve - Bifidobacterium longum subsp. infantis	-0.10358168517017657	0.01883697945511742	Inf	-5.498847913328093	9.671700872766407e-6
Bifidobacterium breve - Bifidobacterium longum subsp. longum	-0.05836224488988151	0.012795214776451354	Inf	-4.5612555873069756	0.0012864706127427468
Bifidobacterium breve - Bifidobacterium longum subsp. suis	-0.012909080994027378	0.05031461093556458	Inf	-0.2565672426754804	1
Bifidobacterium breve - Bifidobacterium pseudocatenulatum	0.03797969711335053	0.015008209431493297	Inf	2.5305948245667302	1
Bifidobacterium breve - Bifidobacterium pseudolongum subsp. globosum	0.1688116947665066	0.07438494014173408	Inf	2.2694337650181673	1
Bifidobacterium breve - Bifidobacterium pullorum	0.10697953522669112	0.09087241169309213	Inf	1.1772498741201938	1
Bifidobacterium breve - Bifidobacterium ruminantium	0.33931151259529435	0.16052644505377325	Inf	2.1137421468570587	1
Bifidobacterium breve - Bifidobacterium scardovii	-0.06899854764509866	0.07622028668691315	Inf	-0.9052517465398823	1
Bifidobacterium breve - Bifidobacterium sp002742445	0.2111363191712942	0.051322310791103574	Inf	4.1139285413448965	0.009841241896508039
Bifidobacterium breve - Bifidobacterium thermophilum	0.8248193283769971	0.28889625690572424	Inf	2.8550710113428748	1
Bifidobacterium breve - Bifidobacterium tsurumiense	-0.21663454645116587	0.1217932521684104	Inf	-1.7787072977705944	1
Bifidobacterium catenulatum subsp. catenulatum - Bifidobacterium catenulatum subsp. kashiwanohense	-0.34792624914283743	0.052520033048117705	Inf	-6.624638808282452	8.806886431294978e-9
Bifidobacterium catenulatum subsp. catenulatum - Bifidobacterium catenulatum subsp. kashiwanohense_A	-0.3077461718373267	0.10416307730228998	Inf	-2.9544650542938697	0.7924254077072882
Bifidobacterium catenulatum subsp. catenulatum - Bifidobacterium dentium	-0.44704153495391674	0.036984848016531804	Inf	-12.087153494698539	3.124335788364445e-31
Bifidobacterium catenulatum subsp. catenulatum - Bifidobacterium gallicum	0.5330370075286598	0.3032410196750425	Inf	1.7577998125051484	1
Bifidobacterium catenulatum subsp. catenulatum - Bifidobacterium longum subsp. infantis	-0.48237538300810334	0.03568112916715317	Inf	-13.519061595510314	3.053853646883524e-39
Bifidobacterium catenulatum subsp. catenulatum - Bifidobacterium longum subsp. longum	-0.4371559427278083	0.03289420473010517	Inf	-13.289755636734332	6.715724952570263e-38
Bifidobacterium catenulatum subsp. catenulatum - Bifidobacterium longum subsp. suis	-0.39170277883195415	0.05873560468104324	Inf	-6.668915404192224	6.5198285429809115e-9
Bifidobacterium catenulatum subsp. catenulatum - Bifidobacterium pseudocatenulatum	-0.34081400072457624	0.033816527527085305	Inf	-10.078326358364315	1.7429044129349617e-21
Bifidobacterium catenulatum subsp. catenulatum - Bifidobacterium pseudolongum subsp. globosum	-0.20998200307142018	0.08032079745333656	Inf	-2.6142918114503533	1
Bifidobacterium catenulatum subsp. catenulatum - Bifidobacterium pullorum	-0.27181416261123564	0.09579199544100424	Inf	-2.8375456775888837	1
Bifidobacterium catenulatum subsp. catenulatum - Bifidobacterium ruminantium	-0.03948218524263242	0.16336171750215114	Inf	-0.24168566446488612	1
Bifidobacterium catenulatum subsp. catenulatum - Bifidobacterium scardovii	-0.44779224548302543	0.0820234313247488	Inf	-5.459321053152696	1.209235741703379e-5
Bifidobacterium catenulatum subsp. catenulatum - Bifidobacterium sp002742445	-0.16765737866663258	0.059601097041826166	Inf	-2.812991488209956	1
Bifidobacterium catenulatum subsp. catenulatum - Bifidobacterium thermophilum	0.4460256305390704	0.2904812531606623	Inf	1.5354713107505704	1
Bifidobacterium catenulatum subsp. catenulatum - Bifidobacterium tsurumiense	-0.5954282442890926	0.125506603242254	Inf	-4.744198543400873	5.296136520738161e-4
Bifidobacterium catenulatum subsp. kashiwanohense - Bifidobacterium catenulatum subsp. kashiwanohense_A	0.04018007730551071	0.10731379378031443	Inf	0.37441670721067466	1
Bifidobacterium catenulatum subsp. kashiwanohense - Bifidobacterium dentium	-0.09911528581107931	0.0451019139865147	Inf	-2.1975849149265465	1
Bifidobacterium catenulatum subsp. kashiwanohense - Bifidobacterium gallicum	0.8809632566714971	0.30433767377043636	Inf	2.8946901175830524	0.9602184929905132
Bifidobacterium catenulatum subsp. kashiwanohense - Bifidobacterium longum subsp. infantis	-0.1344491338652659	0.04403914895958006	Inf	-3.0529457776004207	0.5733154066794264
Bifidobacterium catenulatum subsp. kashiwanohense - Bifidobacterium longum subsp. longum	-0.08922969358497085	0.041813064552446835	Inf	-2.1340146803410818	1
