locus_tag	seed_id
BcK1E1_00644	fig|630129.38.peg.653
BcK1E1_01562	fig|630129.38.peg.1588
BcK1E1_00614	fig|630129.38.peg.624
BcK1E1_01270	fig|630129.38.peg.1281
BcK1E1_01755	fig|630129.38.peg.1787
BcK1E1_01570	fig|630129.38.peg.1595
BcK1E1_01966	fig|630129.38.peg.2015
BcK1E1_01739	fig|630129.38.peg.1772
BcK1E1_01262	fig|630129.38.peg.1273
BcK1E1_01758	fig|630129.38.peg.1790
BcK1E1_02096	fig|630129.38.peg.2145
BcK1E1_01764	fig|630129.38.peg.1796
BcK1E1_00204	fig|630129.38.peg.214
BcK1E1_00089	fig|630129.38.peg.93
BcK1E1_00702	fig|630129.38.peg.711
BcK1E1_00529	fig|630129.38.peg.539
BcK1E1_00699	fig|630129.38.peg.708
BcK1E1_00655	fig|630129.38.peg.665
BcK1E1_01512	fig|630129.38.peg.1537
BcK1E1_00304	fig|630129.38.peg.314
BcK1E1_00664	fig|630129.38.peg.674
BcK1E1_00658	fig|630129.38.peg.668
BcK1E1_01542	fig|630129.38.peg.1567
BcK1E1_00639	fig|630129.38.peg.648
BcK1E1_01106	fig|630129.38.peg.1122
BcK1E1_01602	fig|630129.38.peg.1631
BcK1E1_01799	fig|630129.38.peg.1834
BcK1E1_02036	fig|630129.38.peg.2088
BcK1E1_01362	fig|630129.38.peg.1381
BcK1E1_00692	fig|630129.38.peg.701
BcK1E1_00522	fig|630129.38.peg.532
BcK1E1_00196	fig|630129.38.peg.207
BcK1E1_00709	fig|630129.38.peg.718
BcK1E1_00082	fig|630129.38.peg.82
BcK1E1_01180	fig|630129.38.peg.1198
BcK1E1_01234	fig|630129.38.peg.1246
BcK1E1_01269	fig|630129.38.peg.1280
BcK1E1_01394	-
BcK1E1_01732	fig|630129.38.peg.1763
BcK1E1_00357	fig|630129.38.peg.366
BcK1E1_01294	fig|630129.38.peg.1306
BcK1E1_01369	fig|630129.38.peg.1388
BcK1E1_01792	fig|630129.38.peg.1825
BcK1E1_01334	fig|630129.38.peg.1349
BcK1E1_00257	fig|630129.38.peg.268
BcK1E1_01609	fig|630129.38.peg.1638
BcK1E1_01484	fig|630129.38.peg.1508
BcK1E1_00136	fig|630129.38.peg.142
BcK1E1_01549	fig|630129.38.peg.1574
BcK1E1_00632	fig|630129.38.peg.641
BcK1E1_01519	fig|630129.38.peg.1544
BcK1E1_01219	fig|630129.38.peg.1231
BcK1E1_00322	fig|630129.38.peg.331
BcK1E1_01249	fig|630129.38.peg.1261
BcK1E1_00557	fig|630129.38.peg.567
BcK1E1_01594	fig|630129.38.peg.1622
BcK1E1_01624	fig|630129.38.peg.1652
BcK1E1_01569	fig|630129.38.peg.1594
BcK1E1_01534	fig|630129.38.peg.1559
BcK1E1_01319	fig|630129.38.peg.1335
BcK1E1_01349	fig|630129.38.peg.1367
BcK1E1_00724	fig|630129.38.peg.733
BcK1E1_00222	fig|630129.38.peg.233
BcK1E1_00379	fig|630129.38.peg.387
BcK1E1_01320	fig|630129.38.peg.1336
BcK1E1_01220	fig|630129.38.peg.1232
BcK1E1_01866	fig|630129.38.peg.1905
BcK1E1_00426	fig|630129.38.peg.434
BcK1E1_00279	fig|630129.38.peg.291
BcK1E1_00579	fig|630129.38.peg.591
BcK1E1_02089	fig|630129.38.peg.2138
BcK1E1_00730	fig|630129.38.peg.740
BcK1E1_00686	fig|630129.38.peg.695
BcK1E1_00182	fig|630129.38.peg.191
BcK1E1_01080	fig|630129.38.peg.1096
BcK1E1_00096	fig|630129.38.peg.100
BcK1E1_01520	fig|630129.38.peg.1545
BcK1E1_01690	fig|630129.38.peg.1720
BcK1E1_01630	fig|630129.38.peg.1660
BcK1E1_00036	fig|630129.38.peg.35
BcK1E1_01786	fig|630129.38.peg.1818
BcK1E1_01846	fig|630129.38.peg.1883
BcK1E1_01816	fig|630129.38.peg.1851
BcK1E1_01984	fig|630129.38.peg.2034
BcK1E1_00790	fig|630129.38.peg.802
BcK1E1_00757	fig|630129.38.peg.765
BcK1E1_01996	fig|630129.38.peg.2047
BcK1E1_01332	fig|630129.38.peg.1347
BcK1E1_01794	fig|630129.38.peg.1827
BcK1E1_02066	fig|630129.38.peg.2116
BcK1E1_00980	fig|630129.38.peg.996
BcK1E1_01292	fig|630129.38.peg.1304
BcK1E1_00309	fig|630129.38.peg.319
BcK1E1_01482	fig|630129.38.peg.1506
BcK1E1_00634	fig|630129.38.peg.643
BcK1E1_00084	fig|630129.38.peg.86
BcK1E1_00209	fig|630129.38.peg.219
BcK1E1_01657	fig|630129.38.peg.1686
BcK1E1_00694	fig|630129.38.peg.703
BcK1E1_00524	fig|630129.38.peg.534
BcK1E1_01936	fig|630129.38.peg.1984
BcK1E1_01734	fig|630129.38.peg.1765
BcK1E1_01392	fig|630129.38.peg.1414
BcK1E1_01769	fig|630129.38.peg.1800
BcK1E1_01232	fig|630129.38.peg.1244
BcK1E1_00649	fig|630129.38.peg.659
BcK1E1_01532	fig|630129.38.peg.1557
BcK1E1_00619	fig|630129.38.peg.629
BcK1E1_00224	fig|630129.38.peg.235
BcK1E1_00722	fig|630129.38.peg.731
BcK1E1_02016	fig|630129.38.peg.2068
BcK1E1_00509	fig|630129.38.peg.517
BcK1E1_00324	fig|630129.38.peg.333
BcK1E1_01889	fig|630129.38.peg.1932
BcK1E1_01719	fig|630129.38.peg.1750
BcK1E1_01126	-
BcK1E1_01592	fig|630129.38.peg.1620
BcK1E1_01622	fig|630129.38.peg.1651
BcK1E1_01720	fig|630129.38.peg.1751
BcK1E1_00779	fig|630129.38.peg.787
BcK1E1_00530	fig|630129.38.peg.540
BcK1E1_00806	fig|630129.38.peg.819
BcK1E1_01586	fig|630129.38.peg.1613
BcK1E1_00620	fig|630129.38.peg.630
BcK1E1_00590	fig|630129.38.peg.603
BcK1E1_01026	fig|630129.38.peg.1043
BcK1E1_01679	fig|630129.38.peg.1709
BcK1E1_00480	fig|630129.38.peg.491
BcK1E1_01496	fig|630129.38.peg.1521
BcK1E1_00330	fig|630129.38.peg.339
BcK1E1_00290	fig|630129.38.peg.300
BcK1E1_01982	fig|630129.38.peg.2032
BcK1E1_01286	fig|630129.38.peg.1298
BcK1E1_00390	fig|630129.38.peg.398
BcK1E1_00230	fig|630129.38.peg.242
BcK1E1_01386	fig|630129.38.peg.1406
BcK1E1_00184	fig|630129.38.peg.194
BcK1E1_01436	fig|630129.38.peg.1457
BcK1E1_01989	fig|630129.38.peg.2040
BcK1E1_01300	fig|630129.38.peg.1312
BcK1E1_00253	fig|630129.38.peg.265
BcK1E1_01251	fig|630129.38.peg.1263
BcK1E1_01660	fig|630129.38.peg.1689
BcK1E1_00066	fig|630129.38.peg.65
BcK1E1_00353	fig|630129.38.peg.362
BcK1E1_01200	fig|630129.38.peg.1218
BcK1E1_01351	fig|630129.38.peg.1370
BcK1E1_00574	fig|630129.38.peg.586
BcK1E1_02084	fig|630129.38.peg.2132
BcK1E1_00760	fig|630129.38.peg.768
BcK1E1_00406	fig|630129.38.peg.414
BcK1E1_00046	fig|630129.38.peg.45
BcK1E1_01640	fig|630129.38.peg.1669
BcK1E1_00772	fig|630129.38.peg.780
BcK1E1_00016	fig|630129.38.peg.16
BcK1E1_00274	fig|630129.38.peg.285
BcK1E1_01610	fig|630129.38.peg.1639
BcK1E1_01500	fig|630129.38.peg.1525
BcK1E1_01836	fig|630129.38.peg.1872
BcK1E1_00880	fig|630129.38.peg.893
BcK1E1_01551	fig|630129.38.peg.1576
BcK1E1_00553	fig|630129.38.peg.563
BcK1E1_00710	fig|630129.38.peg.719
BcK1E1_01176	fig|630129.38.peg.1194
BcK1E1_01672	fig|630129.38.peg.1702
BcK1E1_01896	fig|630129.38.peg.1939
BcK1E1_00374	fig|630129.38.peg.382
BcK1E1_00502	fig|630129.38.peg.510
BcK1E1_01314	fig|630129.38.peg.1330
BcK1E1_00729	fig|630129.38.peg.739
BcK1E1_01344	fig|630129.38.peg.1359
BcK1E1_01770	fig|630129.38.peg.1801
BcK1E1_00612	fig|630129.38.peg.622
BcK1E1_01555	fig|630129.38.peg.1581
BcK1E1_00116	fig|630129.38.peg.121
BcK1E1_01558	fig|630129.38.peg.1584
BcK1E1_01564	fig|630129.38.peg.1590
BcK1E1_00642	fig|630129.38.peg.651
BcK1E1_01539	fig|630129.38.peg.1564
BcK1E1_00146	fig|630129.38.peg.152
BcK1E1_01629	fig|630129.38.peg.1658
BcK1E1_01599	fig|630129.38.peg.1627
BcK1E1_01712	fig|630129.38.peg.1743
BcK1E1_00670	fig|630129.38.peg.679
BcK1E1_01214	fig|630129.38.peg.1227
BcK1E1_01076	fig|630129.38.peg.1092
BcK1E1_01742	fig|630129.38.peg.1775
BcK1E1_01882	fig|630129.38.peg.1925
BcK1E1_01244	fig|630129.38.peg.1256
BcK1E1_01544	fig|630129.38.peg.1569
BcK1E1_01489	fig|630129.38.peg.1514
BcK1E1_00166	fig|630129.38.peg.174
BcK1E1_00662	fig|630129.38.peg.672
BcK1E1_01514	fig|630129.38.peg.1539
BcK1E1_00302	fig|630129.38.peg.312
BcK1E1_01358	fig|630129.38.peg.1377
BcK1E1_01299	fig|630129.38.peg.1311
BcK1E1_01364	fig|630129.38.peg.1383
BcK1E1_01339	fig|630129.38.peg.1354
BcK1E1_01355	fig|630129.38.peg.1374
BcK1E1_01604	fig|630129.38.peg.1633
BcK1E1_01239	fig|630129.38.peg.1251
BcK1E1_01762	fig|630129.38.peg.1794
BcK1E1_01264	fig|630129.38.peg.1275
BcK1E1_01399	fig|630129.38.peg.1420
BcK1E1_01258	fig|630129.38.peg.1269
BcK1E1_01255	fig|630129.38.peg.1266
BcK1E1_00906	fig|630129.38.peg.924
BcK1E1_00704	fig|630129.38.peg.713
BcK1E1_00202	fig|630129.38.peg.212
BcK1E1_01757	fig|630129.38.peg.1789
BcK1E1_00996	fig|630129.38.peg.1012
BcK1E1_00332	fig|630129.38.peg.342
BcK1E1_00794	fig|630129.38.peg.807
BcK1E1_01980	fig|630129.38.peg.2030
BcK1E1_00292	fig|630129.38.peg.303
BcK1E1_01309	fig|630129.38.peg.1324
BcK1E1_01669	fig|630129.38.peg.1699
BcK1E1_00482	fig|630129.38.peg.493
BcK1E1_01634	-
BcK1E1_01084	fig|630129.38.peg.1100
BcK1E1_01209	fig|630129.38.peg.1223
BcK1E1_00657	fig|630129.38.peg.667
BcK1E1_01694	fig|630129.38.peg.1724
BcK1E1_01524	fig|630129.38.peg.1549
BcK1E1_00936	fig|630129.38.peg.953
BcK1E1_00734	fig|630129.38.peg.744
BcK1E1_00392	fig|630129.38.peg.400
BcK1E1_00232	fig|630129.38.peg.244
BcK1E1_00769	fig|630129.38.peg.777
BcK1E1_01649	fig|630129.38.peg.1678
BcK1E1_00532	fig|630129.38.peg.542
BcK1E1_01224	fig|630129.38.peg.1236
BcK1E1_01722	fig|630129.38.peg.1753
BcK1E1_01509	fig|630129.38.peg.1534
BcK1E1_01324	fig|630129.38.peg.1340
BcK1E1_00889	fig|630129.38.peg.904
BcK1E1_00749	fig|630129.38.peg.757
BcK1E1_00719	fig|630129.38.peg.728
BcK1E1_00592	fig|630129.38.peg.605
BcK1E1_00126	fig|630129.38.peg.131
BcK1E1_00622	fig|630129.38.peg.632
BcK1E1_00720	fig|630129.38.peg.729
BcK1E1_01779	fig|630129.38.peg.1811
BcK1E1_01530	fig|630129.38.peg.1555
BcK1E1_02076	fig|630129.38.peg.2125
BcK1E1_00586	fig|630129.38.peg.599
BcK1E1_01620	fig|630129.38.peg.1648
BcK1E1_00026	fig|630129.38.peg.24
